d,nl,ns
2023-01-10,243566,93031
2023-01-17,246874,93634
2023-01-24,253311,95638
2023-01-31,256417,96136
2023-02-07,223298,94483
2023-02-14,210374,104845
2023-02-21,210185,103084
2023-02-28,208419,99826
2023-03-07,215574,117100
2023-03-14,230823,90492
2023-03-21,237891,79286
2023-03-28,245135,63505
2023-04-04,266164,70948
2023-04-11,260165,67420
2023-04-18,260061,70168
2023-04-25,253186,67922
2023-05-02,262413,66846
2023-05-09,266472,70658
2023-05-16,255250,75436
2023-05-23,236149,75417
2023-05-30,237306,67990
2023-06-06,237467,61826
2023-06-13,227317,67108
2023-06-20,229308,66333
2023-06-27,220881,68971
2023-07-03,235081,71984
2023-07-11,240546,74792
2023-07-18,263740,70392
2023-07-25,248229,74590
2023-08-01,238985,74061
2023-08-08,228846,85861
2023-08-15,233078,111942
2023-08-22,226340,124394
2023-08-29,236054,112782
2023-09-05,235802,97796
2023-09-12,235704,111840
2023-09-19,237716,102553
2023-09-26,235560,119745
2023-10-03,228406,137180
2023-10-10,220332,148899
2023-10-17,231412,118674
2023-10-24,251469,102084
2023-10-31,261053,97628
2023-11-07,261653,95437
2023-11-14,254352,98976
2023-11-21,269701,97996
2023-11-28,289845,89761
2023-12-05,288840,85296
2023-12-12,273536,85303
2023-12-19,280972,79633
2023-12-26,289843,82125
2024-01-02,290706,83057
2024-01-09,271665,83051
2024-01-16,262360,82467
2024-01-23,241100,71626
2024-01-30,219222,71431
2024-02-06,228623,66885
2024-02-13,217505,86337
2024-02-20,211034,70772
2024-02-27,214948,73312
2024-03-05,264148,72855
2024-03-12,283062,81460
2024-03-19,278732,77130
2024-03-26,265647,66353
2024-04-02,281399,74149
2024-04-09,279799,77380
2024-04-16,278777,76854
2024-04-23,279535,76644
2024-04-30,278850,74640
2024-05-07,272144,72577
2024-05-14,277642,73146
2024-05-21,300729,70923
2024-05-28,286737,50152
2024-06-04,284566,47264
2024-06-11,276769,42843
2024-06-18,287147,44063
2024-06-25,284885,38656
2024-07-02,280117,38574
2024-07-09,303043,48268
2024-07-16,349827,64803
2024-07-23,341600,68526
2024-07-30,313364,66763
2024-08-06,298119,59370
2024-08-13,328769,61505
2024-08-20,355551,64298
2024-08-27,343330,48885
2024-09-03,339157,51599
2024-09-10,340006,57505
2024-09-17,369734,59668
2024-09-24,387572,72182
2024-10-01,370051,70120
2024-10-08,348891,70711
2024-10-15,357494,71060
2024-10-22,371813,75609
2024-10-29,366636,87983
2024-11-05,336816,81487
2024-11-12,316225,79774
2024-11-19,309354,74987
2024-11-26,303401,53063
2024-12-03,307611,47875
2024-12-10,324332,48746
2024-12-17,302978,40937
2024-12-24,289416,41787
2024-12-31,282907,35628
2025-01-07,291721,36810
2025-01-14,312568,33205
2025-01-21,337289,36505
2025-01-28,338371,38962
2025-02-04,356500,53992
2025-02-11,343766,59262
2025-02-18,334043,65369
2025-02-25,316948,55323
2025-03-04,303132,59871
2025-03-11,296172,60072
2025-03-18,321654,63722
2025-03-25,316572,66776
2025-04-01,327936,89502
2025-04-08,269833,69118
2025-04-15,271707,69497
2025-04-22,258896,83518
2025-04-29,240377,77059
2025-05-06,237445,74948
2025-05-13,238191,76982
2025-05-20,238062,74081
2025-05-27,234087,59903
2025-06-03,246982,59077
2025-06-10,245995,58514
2025-06-17,260586,59938
2025-06-24,256077,61073
2025-07-01,258631,56651
2025-07-08,261685,58717
2025-07-15,270227,57112
2025-07-22,311949,58911
2025-07-29,281241,57645
2025-08-05,292194,55144
2025-08-12,288115,58630
2025-08-19,275277,62687
2025-08-26,275767,61456
