date,regime,real_yield,yield_asof,signal_from,aligned,traded,reason,equity_open,equity_close,pnl
2026-07-01,CONTRACTION,2.2,2026-06-30,2026-06-30,False,False,"CONTRACTION: alignment failed on XAUUSD, EURUSD, AUDUSD",100000.0,100000.0,0.0
2026-07-02,CONTRACTION,2.25,2026-07-01,2026-07-01,False,False,"CONTRACTION: alignment failed on XAUUSD, EURUSD, AUDUSD",100000.0,100000.0,0.0
2026-07-06,CONTRACTION,2.26,2026-07-02,2026-07-02,False,False,"CONTRACTION: alignment failed on XAUUSD, EURUSD, AUDUSD",100000.0,100000.0,0.0
2026-07-07,CONTRACTION,2.24,2026-07-06,2026-07-06,False,False,"CONTRACTION: alignment failed on EURUSD, AUDUSD",100000.0,100000.0,0.0
2026-07-08,CONTRACTION,2.3,2026-07-07,2026-07-07,False,False,"CONTRACTION: alignment failed on XAUUSD, AUDUSD",100000.0,100000.0,0.0
2026-07-09,CONTRACTION,2.31,2026-07-08,2026-07-08,False,False,"CONTRACTION: alignment failed on EURUSD, AUDUSD",100000.0,100000.0,0.0
2026-07-10,CONTRACTION,2.31,2026-07-09,2026-07-09,False,False,"CONTRACTION: alignment failed on XAUUSD, EURUSD",100000.0,100000.0,0.0
2026-07-13,CONTRACTION,2.32,2026-07-10,2026-07-10,False,False,CONTRACTION: alignment failed on AUDUSD,100000.0,100000.0,0.0
2026-07-14,CONTRACTION,2.36,2026-07-13,2026-07-13,False,False,CONTRACTION: alignment failed on EURUSD,100000.0,100000.0,0.0
2026-07-15,CONTRACTION,2.33,2026-07-14,2026-07-14,False,False,"CONTRACTION: alignment failed on XAUUSD, EURUSD",100000.0,100000.0,0.0
2026-07-16,CONTRACTION,2.32,2026-07-15,2026-07-15,True,True,CONTRACTION + all-3 aligned -> SHORT,100000.0,138698.55708532748,38698.55708532748
2026-07-17,CONTRACTION,2.35,2026-07-16,2026-07-16,True,True,CONTRACTION + all-3 aligned -> SHORT,138698.55708532748,94024.85337841333,-44673.70370691416
2026-07-20,CONTRACTION,2.31,2026-07-17,2026-07-17,False,False,CONTRACTION: alignment failed on XAUUSD,94024.85337841333,94024.85337841333,0.0
2026-07-21,CONTRACTION,2.35,2026-07-20,2026-07-20,False,False,"CONTRACTION: alignment failed on XAUUSD, EURUSD, AUDUSD",94024.85337841333,94024.85337841333,0.0
2026-07-22,CONTRACTION,2.37,2026-07-21,2026-07-21,False,False,"CONTRACTION: alignment failed on XAUUSD, EURUSD, AUDUSD",94024.85337841333,94024.85337841333,0.0
2026-07-23,CONTRACTION,2.39,2026-07-22,2026-07-22,False,False,"CONTRACTION: alignment failed on XAUUSD, EURUSD",94024.85337841333,94024.85337841333,0.0
2026-07-24,CONTRACTION,2.43,2026-07-23,2026-07-23,True,True,CONTRACTION + all-3 aligned -> SHORT,94024.85337841333,94206.84256040062,181.9891819872896
2026-07-27,CONTRACTION,2.43,2026-07-24,2026-07-24,False,False,"CONTRACTION: alignment failed on XAUUSD, EURUSD",94206.84256040062,94206.84256040062,0.0
