date,asset,direction,ret_pct,position,leverage,pnl_usd,pnl_pct,win
2026-07-07,XAUUSD,SHORT,-1.53,6666.666666666667,500,51000.00000000001,51.000000000000014,True
2026-07-07,EURUSD,SHORT,-0.33,6666.666666666667,500,11000.0,11.0,True
2026-07-07,AUDUSD,SHORT,-0.45,6666.666666666667,500,15000.000000000002,15.000000000000002,True
2026-07-13,XAUUSD,SHORT,-2.8,11800.0,500,165199.99999999997,93.33333333333331,True
2026-07-13,EURUSD,SHORT,-0.31,11800.0,500,18290.0,10.333333333333334,True
2026-07-13,AUDUSD,SHORT,-0.55,11800.0,500,32450.000000000004,18.333333333333336,True
2026-07-16,XAUUSD,SHORT,-2.12,26196.0,500,277677.6,70.66666666666666,True
2026-07-16,EURUSD,SHORT,-0.2,26196.0,500,26196.0,6.666666666666667,True
2026-07-16,AUDUSD,SHORT,-0.14,26196.0,500,18337.200000000004,4.666666666666668,True
2026-07-17,XAUUSD,SHORT,1.06,47676.72,500,-252686.616,-35.333333333333336,False
2026-07-17,EURUSD,SHORT,-0.03,47676.72,500,7151.508,0.9999999999999999,True
2026-07-17,AUDUSD,SHORT,-0.21,47676.72,500,50060.556,6.999999999999999,True
2026-07-23,XAUUSD,SHORT,-1.88,34645.0832,500,325663.78208,62.66666666666666,True
2026-07-23,EURUSD,SHORT,-0.26,34645.0832,500,45038.60816,8.666666666666668,True
2026-07-23,AUDUSD,SHORT,-0.29,34645.0832,500,50235.37064,9.666666666666666,True
