month,sessions,trade_days,trades,wins,win_rate_pct,stop_hits,equity_start,equity_end,pnl,return_pct,max_dd_pct
2026-01,18,2,6,0,0.0,1,100000.0,57984.09,-42015.91,-42.02,-42.02
2026-02,19,6,18,0,0.0,7,57984.09,1679.36,-56304.73,-97.1,-97.1
2026-03,21,5,15,3,60.0,3,1679.36,490.91,-1188.45,-70.77,-70.77
2026-04,21,3,9,1,33.33,2,490.91,225.22,-265.69,-54.12,-54.12
2026-05,20,3,9,2,66.67,0,225.22,233.15,7.93,3.52,-4.39
2026-06,20,1,3,0,0.0,1,233.15,155.62,-77.53,-33.25,-33.25
