date,asset,direction,entry,exit,stop,high,low,pnl_ret,pnl_usd,win,exit_reason,stop_hit,equity_before,equity_after
2026-07-07,XAUUSD,SHORT,4166.99,4107.32,4208.6599,4183.27,4092.02,0.014319688792149747,47732.29597383249,True,CLOSE,False,100000.00000000001,171635.02906457405
2026-07-07,EURUSD,SHORT,1.1442,1.1412,1.155642,1.1449,1.1408,0.0026219192448873564,8739.730816291189,True,CLOSE,False,100000.00000000001,171635.02906457405
2026-07-07,AUDUSD,SHORT,0.6595,0.6565,0.666095,0.6595,0.6565,0.004548900682335107,15163.002274450357,True,CLOSE,False,100000.00000000001,171635.02906457405
2026-07-13,XAUUSD,SHORT,4097.61,4001.01,4138.5860999999995,4103.38,3986.6,0.023574717945338736,134874.91332457832,True,CLOSE,False,171635.02906457402,352278.5141856314
2026-07-13,EURUSD,SHORT,1.1412,1.1383,1.152612,1.1446,1.1378,0.002541184717840784,14538.543763501812,True,CLOSE,False,171635.02906457402,352278.5141856314
2026-07-13,AUDUSD,SHORT,0.6595,0.6559,0.666095,0.6595,0.6559,0.005458680818802027,31230.02803297729,True,CLOSE,False,171635.02906457402,352278.5141856314
2026-07-16,XAUUSD,SHORT,4064.37,3976.28,4105.0136999999995,4065.63,3969.4,0.021673715729621,254506.14580375445,True,CLOSE,False,352278.5141856314,646252.9946086925
2026-07-16,EURUSD,SHORT,1.1465,1.1442,1.1579650000000001,1.1477,1.1431,0.0020061055385956986,23556.929281201952,True,CLOSE,False,352278.5141856314,646252.9946086925
2026-07-16,AUDUSD,SHORT,0.6642,0.6633,0.670842,0.6642,0.6633,0.0013550135501355194,15911.405338104612,True,CLOSE,False,352278.5141856314,646252.9946086925
2026-07-23,XAUUSD,SHORT,4117.63,4049.57,4158.8063,4141.2,4040.07,0.016528925619834697,356062.2559827504,True,CLOSE,False,646252.9946086926,1126407.831055019
2026-07-23,EURUSD,SHORT,1.141,1.1377,1.15241,1.1437,1.1364,0.002892199824715233,62303.09325763183,True,CLOSE,False,646252.9946086926,1126407.831055019
2026-07-23,AUDUSD,SHORT,0.6624,0.6605,0.669024,0.6624,0.6605,0.0028683574879227246,61789.48720594424,True,CLOSE,False,646252.9946086926,1126407.831055019
