date,asset,direction,entry,stop,exit,high,low,close,return_pct,pnl_usd,exit_reason,stop_hit,notional_usd
2026-07-15,XAUUSD,SHORT,4049.10009765625,4089.5910986328126,4044.0,4070.10009765625,4019.39990234375,4044.0,0.1259563244485386,4198.544148284621,CLOSE,False,3333333.3333333335
2026-07-15,EURUSD,SHORT,1.1425436735153198,1.153969110250473,1.1424654722213743,1.1445575952529907,1.1406540870666504,1.1424654722213743,0.00684449056594299,228.14968553143305,CLOSE,False,3333333.3333333335
2026-07-15,AUDUSD,SHORT,0.6977101564407349,0.7046872580051422,0.6976497769355774,0.7003002166748047,0.6976497769355774,0.6976497769355774,0.00865395244717202,288.46508157240066,CLOSE,False,3333333.3333333335
2026-07-16,XAUUSD,SHORT,4030.5,4070.805,3985.60009765625,4030.5,3972.60009765625,3985.60009765625,1.1140032835566307,38884.34362329904,CLOSE,False,3490505.297179615
2026-07-16,EURUSD,SHORT,1.147315263748169,1.1587884163856506,1.1470258235931396,1.1478420495986938,1.143837571144104,1.1470258235931396,0.025227604318949236,880.5708651044364,CLOSE,False,3490505.297179615
2026-07-16,AUDUSD,SHORT,0.7009624242782593,0.7079720485210419,0.7008101344108582,0.7012298107147217,0.6987299919128418,0.7008101344108582,0.021725824684244263,758.3410614595024,CLOSE,False,3490505.297179615
2026-07-23,XAUUSD,SHORT,4129.89990234375,4171.198901367187,4046.60009765625,4130.89990234375,4046.60009765625,4046.60009765625,2.0169933087295098,97648.30338229849,CLOSE,False,4841280.482175048
2026-07-23,EURUSD,SHORT,1.141265869140625,1.1526785278320313,1.1411746740341189,1.1437721252441406,1.1365057229995728,1.1411746740341189,0.00799069778322519,386.85209216887534,CLOSE,False,4841280.482175048
2026-07-23,AUDUSD,SHORT,0.6990601420402527,0.7060507434606552,0.6989697813987732,0.7021978497505188,0.6965597867965698,0.6989697813987732,0.01292601824154482,625.7847982502957,CLOSE,False,4841280.482175048
2026-07-27,XAUUSD,SHORT,4090.10009765625,4131.0010986328125,4074.5,4107.89990234375,4072.699951171875,4074.5,0.3814111460301259,31008.644135539,CLOSE,False,8129978.491265637
2026-07-27,EURUSD,SHORT,1.1397830247879028,1.1511808550357818,1.1394972801208496,1.1418131589889526,1.1369967460632324,1.1394972801208496,0.025070093240456497,2038.1931881893536,CLOSE,False,8129978.491265637
2026-07-27,AUDUSD,SHORT,0.6997498869895935,0.7067473858594895,0.699440062046051,0.701050877571106,0.6986899971961975,0.699440062046051,0.04427652641365673,3599.6720741098407,CLOSE,False,8129978.491265637
