date,asset,direction,entry_price,exit_price,return_pct,pnl_usd,win,equity_before,equity_after
2026-07-07,XAUUSD,SHORT,4165.52,4101.58,1.53,51000.00000000001,True,99999.99999999999,177000.0
2026-07-07,EURUSD,SHORT,1.0911896976089548,1.0875887716068453,0.33,11000.0,True,99999.99999999999,177000.0
2026-07-07,AUDUSD,SHORT,0.659902415541264,0.6569328546713284,0.45000000000000007,15000.000000000002,True,99999.99999999999,177000.0
2026-07-13,XAUUSD,SHORT,4119.9,4004.72,2.8,165199.99999999997,True,177000.00000000003,392940.0
2026-07-13,EURUSD,SHORT,1.0890010471204639,1.0856251438743905,0.31,18290.0,True,177000.00000000003,392940.0
2026-07-13,AUDUSD,SHORT,0.6599589978782365,0.6563292233899063,0.55,32450.000000000004,True,177000.00000000003,392940.0
2026-07-16,XAUUSD,SHORT,4061.66,3975.39,2.12,277677.6,True,392940.00000000006,715150.8
2026-07-16,EURUSD,SHORT,1.0935645376765728,1.0913774086012196,0.2,26196.0,True,392940.00000000006,715150.8
2026-07-16,AUDUSD,SHORT,0.6646890593538216,0.6637584946707263,0.14,18337.200000000004,True,392940.00000000006,715150.8
2026-07-17,XAUUSD,SHORT,3975.39,4017.71,-1.06,-252686.616,False,715150.8,519676.248
2026-07-17,EURUSD,SHORT,1.0913774086012196,1.0910499953786392,0.03,7151.508,True,715150.8,519676.248
2026-07-17,AUDUSD,SHORT,0.6637584946707263,0.6623646018319178,0.21,50060.556,True,715150.8,519676.248
2026-07-23,XAUUSD,SHORT,4127.31,4049.61,1.8799999999999997,325663.78208,True,519676.248,940614.00888
2026-07-23,EURUSD,SHORT,1.0879952647073385,1.0851664770190994,0.26,45038.60816,True,519676.248,940614.00888
2026-07-23,AUDUSD,SHORT,0.6628922194633614,0.6609698320269176,0.29,50235.37064,True,519676.248,940614.00888
