date,asset,direction,entry_price,exit_price,return_pct,pnl_usd,win,equity_before,equity_after
2026-07-07,XAUUSD,SHORT,4165.52,4101.58,1.5349824271639676,51166.08090546559,True,100000.0,177166.08090546497
2026-07-07,EURUSD,SHORT,1.0911896976089548,1.0875887716068453,0.32999999999999385,10999.999999999794,True,100000.0,177166.08090546497
2026-07-07,AUDUSD,SHORT,0.659902415541264,0.6569328546713284,0.44999999999998747,14999.999999999583,True,100000.0,177166.08090546497
2026-07-13,XAUUSD,SHORT,4119.9,4004.72,2.795698924731179,165101.0072954152,True,177166.080905465,393054.69806044607
2026-07-13,EURUSD,SHORT,1.0890010471204639,1.0856251438743905,0.3099999999999963,18307.161693564496,True,177166.080905465,393054.69806044607
2026-07-13,AUDUSD,SHORT,0.6599589978782365,0.6563292233899063,0.5499999999999907,32480.44816600137,True,177166.080905465,393054.69806044607
2026-07-16,XAUUSD,SHORT,4061.66,3975.39,2.124008410354387,278283.8281365639,True,393054.698060446,715884.7253105266
2026-07-16,EURUSD,SHORT,1.0935645376765728,1.0913774086012196,0.20000000000000803,26203.646537364126,True,393054.698060446,715884.7253105266
2026-07-16,AUDUSD,SHORT,0.6646890593538216,0.6637584946707263,0.13999999999998788,18342.552576152564,True,393054.698060446,715884.7253105266
2026-07-17,XAUUSD,SHORT,3975.39,4017.71,-1.064549641670381,-254031.6092688734,False,715884.7253105266,519123.8940664949
2026-07-17,EURUSD,SHORT,1.0913774086012196,1.0910499953786392,0.02999999999999778,7158.8472531047355,True,715884.7253105266,519123.8940664949
2026-07-17,AUDUSD,SHORT,0.6637584946707263,0.6623646018319178,0.21000000000000077,50111.93077173704,True,715884.7253105266,519123.8940664949
2026-07-23,XAUUSD,SHORT,4127.31,4049.61,1.882582117650486,325764.4532715562,True,519123.89406649483,940061.0612502438
2026-07-23,EURUSD,SHORT,1.0879952647073385,1.0851664770190994,0.2600000000000047,44990.737485763704,True,519123.89406649483,940061.0612502438
2026-07-23,AUDUSD,SHORT,0.6628922194633614,0.6609698320269176,0.29000000000000714,50181.97642642907,True,519123.89406649483,940061.0612502438
