date,asset,direction,return_pct,position,leverage,pnl_usd,win
2026-07-07,XAUUSD,SHORT,-1.53,6666.666666666667,500,51000.00000000001,True
2026-07-07,EURUSD,SHORT,-0.33,6666.666666666667,500,11000.0,True
2026-07-07,AUDUSD,SHORT,-0.45,6666.666666666667,500,15000.000000000002,True
2026-07-13,XAUUSD,SHORT,-2.8,11800.0,500,165199.99999999997,True
2026-07-13,EURUSD,SHORT,-0.31,11800.0,500,18290.0,True
2026-07-13,AUDUSD,SHORT,-0.55,11800.0,500,32450.000000000004,True
2026-07-16,XAUUSD,SHORT,-2.12,26196.0,500,277677.6,True
2026-07-16,EURUSD,SHORT,-0.2,26196.0,500,26196.0,True
2026-07-16,AUDUSD,SHORT,-0.14,26196.0,500,18337.200000000004,True
2026-07-23,XAUUSD,SHORT,-1.88,47676.72,500,448161.16799999995,True
2026-07-23,EURUSD,SHORT,-0.26,47676.72,500,61979.736,True
2026-07-23,AUDUSD,SHORT,-0.29,47676.72,500,69131.24399999999,True
