week,dates,sessions,trade_days,trades,wins,stop_hits,equity_start,equity_end,pnl,return_pct,max_dd_pct
2026-W27,2026-07-01..2026-07-02,2,0,0,0,0,100000.0,100000.0,0.0,0.0,0.0
2026-W28,2026-07-06..2026-07-10,5,0,0,0,0,100000.0,100000.0,0.0,0.0,0.0
2026-W29,2026-07-13..2026-07-17,5,2,6,2,0,100000.0,145238.41,45238.41,45.24,0.0
2026-W30,2026-07-20..2026-07-24,5,1,3,1,0,145238.41,243899.35,98660.94,67.93,0.0
2026-W31,2026-07-27..2026-07-27,1,1,3,1,0,243899.35,280545.86,36646.51,15.03,0.0
