period,start,end,sessions,initial_capital,final_equity,total_return_pct,trade_days,day_wins,day_win_rate_pct,asset_trades,asset_wins,asset_win_rate_pct,profit_factor,max_drawdown_pct,sharpe_ratio
January 2026,2026-01-02,2026-01-30,20,100000.0,148294.21,48.29,4,3,75.0,12,10,83.33,1.58,-19.67,3.73
February 2026,2026-02-02,2026-02-27,19,100000.0,436515.5,336.52,5,4,80.0,15,14,93.33,11.1,-21.05,5.34
March 2026,2026-03-02,2026-03-31,22,100000.0,13993391.38,13893.39,7,7,100.0,21,21,100.0,inf,0.0,10.15
April 2026,2026-04-01,2026-04-30,21,100000.0,1044051.88,944.05,5,5,100.0,15,15,100.0,inf,0.0,7.75
May 2026,2026-05-01,2026-05-29,20,100000.0,581925.73,481.93,4,4,100.0,12,12,100.0,inf,0.0,6.85
June 2026,2026-06-01,2026-06-30,21,100000.0,1393155.19,1293.16,4,4,100.0,12,12,100.0,inf,0.0,5.97
2026 H1 (compounded),2026-01-02,2026-06-30,123,100000.0,76671858645.74,76671758.65,29,27,93.1,87,84,96.55,574885.94,-21.05,6.72
