date,equity,daily_pnl,daily_pnl_pct,regime,trade_day,aligned,open_positions
2026-04-01,100000.0,0.0,0.0,CONTRACTION,False,True,0
2026-04-02,100000.0,0.0,0.0,CONTRACTION,False,True,0
2026-04-06,68964.84,-31035.16,-31.0352,CONTRACTION,True,True,0
2026-04-07,68964.84,0.0,0.0,CONTRACTION,False,True,0
2026-04-08,68964.84,0.0,0.0,CONTRACTION,False,True,0
2026-04-09,68964.84,0.0,0.0,CONTRACTION,False,True,0
2026-04-10,68964.84,0.0,0.0,CONTRACTION,False,True,0
2026-04-13,68964.84,0.0,0.0,CONTRACTION,False,True,0
2026-04-14,68964.84,0.0,0.0,CONTRACTION,False,True,0
2026-04-15,68964.84,0.0,0.0,CONTRACTION,False,True,0
2026-04-16,68964.84,0.0,0.0,CONTRACTION,False,True,0
2026-04-17,68964.84,0.0,0.0,CONTRACTION,False,True,0
2026-04-20,68964.84,0.0,0.0,CONTRACTION,False,True,0
2026-04-21,68964.84,0.0,0.0,CONTRACTION,False,True,0
2026-04-22,68964.84,0.0,0.0,CONTRACTION,False,True,0
2026-04-23,68964.84,0.0,0.0,CONTRACTION,False,True,0
2026-04-24,68964.84,0.0,0.0,CONTRACTION,False,True,0
2026-04-27,68964.84,0.0,0.0,CONTRACTION,False,True,0
2026-04-28,68964.84,0.0,0.0,CONTRACTION,False,True,0
2026-04-29,68964.84,0.0,0.0,CONTRACTION,False,True,0
2026-04-30,68964.84,0.0,0.0,CONTRACTION,False,True,0
