trade_id,asset,direction,entry_price,exit_price,stop_price,entry_date,exit_date,position_size,leverage,pnl_pct,pnl_usd,exit_reason,regime,stop_hit
XAUUSD-2026-02-04-STOP_LOSS,XAUUSD,SHORT,4923.299805,4972.5328030499995,4972.5328030499995,2026-02-04,2026-02-04,6666.666666666667,500,-1.0,-33333.33,STOP_LOSS,CONTRACTION,True
EURUSD-2026-02-04-CLOSE,EURUSD,SHORT,1.1822,1.18155,1.194022,2026-02-04,2026-02-04,6666.666666666667,500,0.055,1832.74,CLOSE,CONTRACTION,False
AUDUSD-2026-02-04-CLOSE,AUDUSD,SHORT,0.702,0.6998,0.70902,2026-02-04,2026-02-04,6666.666666666667,500,0.3134,10446.34,CLOSE,CONTRACTION,False
XAUUSD-2026-02-05-CLOSE,XAUUSD,SHORT,5008.700195,4861.399902,5058.78719695,2026-02-05,2026-02-05,5263.0501108855615,500,2.9409,77390.22,CLOSE,CONTRACTION,False
EURUSD-2026-02-05-CLOSE,EURUSD,SHORT,1.181,1.17995,1.1928100000000001,2026-02-05,2026-02-05,5263.0501108855615,500,0.0889,2339.63,CLOSE,CONTRACTION,False
AUDUSD-2026-02-05-CLOSE,AUDUSD,SHORT,0.70045,0.69595,0.7074545,2026-02-05,2026-02-05,5263.0501108855615,500,0.6424,16906.08,CLOSE,CONTRACTION,False
XAUUSD-2026-02-10-CLOSE,XAUUSD,SHORT,5013.5,5003.799805,5063.635,2026-02-10,2026-02-10,11705.445275739485,500,0.1935,11323.94,CLOSE,CONTRACTION,False
EURUSD-2026-02-10-CLOSE,EURUSD,SHORT,1.19095,1.19055,1.2028595,2026-02-10,2026-02-10,11705.445275739485,500,0.0336,1965.73,CLOSE,CONTRACTION,False
AUDUSD-2026-02-10-CLOSE,AUDUSD,SHORT,0.7082,0.7079,0.7152820000000001,2026-02-10,2026-02-10,11705.445275739485,500,0.0424,2479.27,CLOSE,CONTRACTION,False
XAUUSD-2026-02-12-CLOSE,XAUUSD,SHORT,5060.399902,4923.700195,5111.00390102,2026-02-12,2026-02-12,12756.707599342773,500,2.7014,172302.41,CLOSE,CONTRACTION,False
EURUSD-2026-02-12-CLOSE,EURUSD,SHORT,1.18735,1.187,1.1992235,2026-02-12,2026-02-12,12756.707599342773,500,0.0295,1880.17,CLOSE,CONTRACTION,False
AUDUSD-2026-02-12-CLOSE,AUDUSD,SHORT,0.7126,0.70965,0.719726,2026-02-12,2026-02-12,12756.707599342773,500,0.414,26404.92,CLOSE,CONTRACTION,False
XAUUSD-2026-02-26-CLOSE,XAUUSD,SHORT,5177.200195,5176.5,5228.972196950001,2026-02-26,2026-02-26,26129.20756813398,500,0.0135,1766.93,CLOSE,CONTRACTION,False
EURUSD-2026-02-26-CLOSE,EURUSD,SHORT,1.1821,1.18055,1.193921,2026-02-26,2026-02-26,26129.20756813398,500,0.1311,17130.65,CLOSE,CONTRACTION,False
AUDUSD-2026-02-26-CLOSE,AUDUSD,SHORT,0.71225,0.71085,0.7193725000000001,2026-02-26,2026-02-26,26129.20756813398,500,0.1966,25679.81,CLOSE,CONTRACTION,False
