date,equity,daily_pnl,daily_pnl_pct,regime,trade_day,aligned,open_positions
2026-01-02,100000.0,0.0,0.0,CONTRACTION,False,True,0
2026-01-05,100000.0,0.0,0.0,CONTRACTION,False,True,0
2026-01-06,100000.0,0.0,0.0,CONTRACTION,False,True,0
2026-01-07,107152.39,7152.39,7.1524,CONTRACTION,True,True,0
2026-01-08,139640.28,32487.89,30.3193,CONTRACTION,True,True,0
2026-01-09,139640.28,0.0,0.0,CONTRACTION,False,True,0
2026-01-12,139640.28,0.0,0.0,CONTRACTION,False,True,0
2026-01-13,139640.28,0.0,0.0,CONTRACTION,False,True,0
2026-01-14,139640.28,0.0,0.0,CONTRACTION,False,True,0
2026-01-15,139640.28,0.0,0.0,CONTRACTION,False,True,0
2026-01-16,139640.28,0.0,0.0,CONTRACTION,False,True,0
2026-01-20,139640.28,0.0,0.0,CONTRACTION,False,True,0
2026-01-21,139640.28,0.0,0.0,CONTRACTION,False,True,0
2026-01-22,139640.28,0.0,0.0,CONTRACTION,False,True,0
2026-01-23,139640.28,0.0,0.0,CONTRACTION,False,True,0
2026-01-26,139640.28,0.0,0.0,CONTRACTION,False,True,0
2026-01-27,139640.28,0.0,0.0,CONTRACTION,False,True,0
2026-01-28,139640.28,0.0,0.0,CONTRACTION,False,True,0
2026-01-29,112172.14,-27468.15,-19.6706,CONTRACTION,True,True,0
2026-01-30,112172.14,0.0,0.0,CONTRACTION,False,True,0
