trade_id,asset,direction,entry_price,exit_price,stop_price,entry_date,exit_date,position_size,leverage,pnl_pct,pnl_usd,exit_reason,regime,stop_hit
XAUUSD-2026-03-03-CLOSE,XAUUSD,SHORT,5298.700195,5107.399902,5351.687196950001,2026-03-03,2026-03-03,6666.666666666667,500,3.6103,120344.16,CLOSE,CONTRACTION,False
EURUSD-2026-03-03-CLOSE,EURUSD,SHORT,1.1697,1.16195,1.181397,2026-03-03,2026-03-03,6666.666666666667,500,0.6626,22085.44,CLOSE,CONTRACTION,False
AUDUSD-2026-03-03-CLOSE,AUDUSD,SHORT,0.70975,0.70425,0.7168475,2026-03-03,2026-03-03,6666.666666666667,500,0.7749,25830.69,CLOSE,CONTRACTION,False
XAUUSD-2026-03-05-CLOSE,XAUUSD,SHORT,5169.5,5065.299805,5221.195,2026-03-05,2026-03-05,17884.019347161615,500,2.0157,180241.64,CLOSE,CONTRACTION,False
EURUSD-2026-03-05-CLOSE,EURUSD,SHORT,1.16425,1.1577,1.1758925,2026-03-05,2026-03-05,17884.019347161615,500,0.5626,50307.2,CLOSE,CONTRACTION,False
AUDUSD-2026-03-05-CLOSE,AUDUSD,SHORT,0.7076,0.6981,0.714676,2026-03-05,2026-03-05,17884.019347161615,500,1.3426,120052.42,CLOSE,CONTRACTION,False
XAUUSD-2026-03-12-CLOSE,XAUUSD,SHORT,5137.200195,5115.799805,5188.57219695,2026-03-12,2026-03-12,41257.43688272795,500,0.4166,85934.48,CLOSE,CONTRACTION,False
EURUSD-2026-03-12-CLOSE,EURUSD,SHORT,1.15715,1.1513,1.1687215,2026-03-12,2026-03-12,41257.43688272795,500,0.5056,104288.99,CLOSE,CONTRACTION,False
AUDUSD-2026-03-12-CLOSE,AUDUSD,SHORT,0.71525,0.70795,0.7224025000000001,2026-03-12,2026-03-12,41257.43688272795,500,1.0206,210541.27,CLOSE,CONTRACTION,False
XAUUSD-2026-03-13-CLOSE,XAUUSD,SHORT,5089.600098,5052.5,5140.49609898,2026-03-13,2026-03-13,67975.08612551274,500,0.7289,247748.58,CLOSE,CONTRACTION,False
EURUSD-2026-03-13-CLOSE,EURUSD,SHORT,1.1513,1.14365,1.162813,2026-03-13,2026-03-13,67975.08612551274,500,0.6645,225835.75,CLOSE,CONTRACTION,False
AUDUSD-2026-03-13-CLOSE,AUDUSD,SHORT,0.7072,0.70035,0.714272,2026-03-13,2026-03-13,67975.08612551274,500,0.9686,329206.26,CLOSE,CONTRACTION,False
XAUUSD-2026-03-18-CLOSE,XAUUSD,SHORT,4949.600098,4889.899902,4999.09609898,2026-03-18,2026-03-18,121494.4591380242,500,1.2062,732710.0,CLOSE,CONTRACTION,False
EURUSD-2026-03-18-CLOSE,EURUSD,SHORT,1.1558,1.14925,1.167358,2026-03-18,2026-03-18,121494.4591380242,500,0.5667,344258.83,CLOSE,CONTRACTION,False
AUDUSD-2026-03-18-CLOSE,AUDUSD,SHORT,0.7111,0.70505,0.7182109999999999,2026-03-18,2026-03-18,121494.4591380242,500,0.8508,516834.11,CLOSE,CONTRACTION,False
XAUUSD-2026-03-20-CLOSE,XAUUSD,SHORT,4686.899902,4570.399902,4733.76890102,2026-03-20,2026-03-20,227747.98898277446,500,2.4857,2830510.71,CLOSE,CONTRACTION,False
EURUSD-2026-03-20-CLOSE,EURUSD,SHORT,1.16,1.15625,1.1716,2026-03-20,2026-03-20,227747.98898277446,500,0.3233,368127.14,CLOSE,CONTRACTION,False
AUDUSD-2026-03-20-CLOSE,AUDUSD,SHORT,0.70835,0.70085,0.7154335,2026-03-20,2026-03-20,227747.98898277446,500,1.0588,1205696.28,CLOSE,CONTRACTION,False
XAUUSD-2026-03-26-CLOSE,XAUUSD,SHORT,4441.5,4375.5,4485.915,2026-03-26,2026-03-26,521370.2638651614,500,1.486,3873740.56,CLOSE,CONTRACTION,False
EURUSD-2026-03-26-CLOSE,EURUSD,SHORT,1.15665,1.1542,1.1682165,2026-03-26,2026-03-26,521370.2638651614,500,0.2118,552179.63,CLOSE,CONTRACTION,False
AUDUSD-2026-03-26-CLOSE,AUDUSD,SHORT,0.6939,0.68925,0.700839,2026-03-26,2026-03-26,521370.2638651614,500,0.6701,1746917.23,CLOSE,CONTRACTION,False
