date,equity,daily_pnl,daily_pnl_pct,regime,trade_day,aligned,open_positions
2026-01-02,100000.0,0.0,0.0,CONTRACTION,False,True,0
2026-01-05,100000.0,0.0,0.0,CONTRACTION,False,True,0
2026-01-06,100000.0,0.0,0.0,CONTRACTION,False,True,0
2026-01-07,107152.39,7152.39,7.1524,CONTRACTION,True,True,0
2026-01-08,139640.28,32487.89,30.3193,CONTRACTION,True,True,0
2026-01-09,139640.28,0.0,0.0,CONTRACTION,False,True,0
2026-01-12,139640.28,0.0,0.0,CONTRACTION,False,True,0
2026-01-13,139640.28,0.0,0.0,CONTRACTION,False,True,0
2026-01-14,139640.28,0.0,0.0,CONTRACTION,False,True,0
2026-01-15,139640.28,0.0,0.0,CONTRACTION,False,True,0
2026-01-16,139640.28,0.0,0.0,CONTRACTION,False,True,0
2026-01-20,139640.28,0.0,0.0,CONTRACTION,False,True,0
2026-01-21,139640.28,0.0,0.0,CONTRACTION,False,True,0
2026-01-22,139640.28,0.0,0.0,CONTRACTION,False,True,0
2026-01-23,139640.28,0.0,0.0,CONTRACTION,False,True,0
2026-01-26,139640.28,0.0,0.0,CONTRACTION,False,True,0
2026-01-27,139640.28,0.0,0.0,CONTRACTION,False,True,0
2026-01-28,139640.28,0.0,0.0,CONTRACTION,False,True,0
2026-01-29,112172.14,-27468.15,-19.6706,CONTRACTION,True,True,0
2026-01-30,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-02-02,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-02-03,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-02-04,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-02-05,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-02-06,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-02-09,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-02-10,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-02-11,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-02-12,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-02-13,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-02-17,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-02-18,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-02-19,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-02-20,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-02-23,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-02-24,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-02-25,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-02-26,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-02-27,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-03-02,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-03-03,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-03-04,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-03-05,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-03-06,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-03-09,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-03-10,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-03-11,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-03-12,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-03-13,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-03-16,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-03-17,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-03-18,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-03-19,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-03-20,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-03-23,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-03-24,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-03-25,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-03-26,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-03-27,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-03-30,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-03-31,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-04-01,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-04-02,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-04-06,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-04-07,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-04-08,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-04-09,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-04-10,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-04-13,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-04-14,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-04-15,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-04-16,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-04-17,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-04-20,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-04-21,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-04-22,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-04-23,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-04-24,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-04-27,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-04-28,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-04-29,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-04-30,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-05-01,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-05-04,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-05-05,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-05-06,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-05-07,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-05-08,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-05-11,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-05-12,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-05-13,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-05-14,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-05-15,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-05-18,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-05-19,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-05-20,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-05-21,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-05-22,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-05-26,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-05-27,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-05-28,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-05-29,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-06-01,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-06-02,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-06-03,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-06-04,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-06-05,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-06-08,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-06-09,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-06-10,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-06-11,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-06-12,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-06-15,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-06-16,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-06-17,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-06-18,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-06-22,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-06-23,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-06-24,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-06-25,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-06-26,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-06-29,112172.14,0.0,0.0,CONTRACTION,False,True,0
2026-06-30,112172.14,0.0,0.0,CONTRACTION,False,True,0
