date,equity,daily_pnl,daily_pnl_pct,regime,trade_day,aligned,open_positions
2026-06-01,100000.0,0.0,0.0,CONTRACTION,False,True,0
2026-06-02,92827.65,-7172.35,-7.1724,CONTRACTION,True,True,0
2026-06-03,92827.65,0.0,0.0,CONTRACTION,False,True,0
2026-06-04,54278.93,-38548.72,-41.5272,CONTRACTION,True,True,0
2026-06-05,54278.93,0.0,0.0,CONTRACTION,False,True,0
2026-06-08,54278.93,0.0,0.0,CONTRACTION,False,True,0
2026-06-09,54278.93,0.0,0.0,CONTRACTION,False,True,0
2026-06-10,54278.93,0.0,0.0,CONTRACTION,False,True,0
2026-06-11,54278.93,0.0,0.0,CONTRACTION,False,True,0
2026-06-12,54278.93,0.0,0.0,CONTRACTION,False,True,0
2026-06-15,54278.93,0.0,0.0,CONTRACTION,False,True,0
2026-06-16,54278.93,0.0,0.0,CONTRACTION,False,True,0
2026-06-17,54278.93,0.0,0.0,CONTRACTION,False,True,0
2026-06-18,54278.93,0.0,0.0,CONTRACTION,False,True,0
2026-06-22,54278.93,0.0,0.0,CONTRACTION,False,True,0
2026-06-23,54278.93,0.0,0.0,CONTRACTION,False,True,0
2026-06-24,54278.93,0.0,0.0,CONTRACTION,False,True,0
2026-06-25,54278.93,0.0,0.0,CONTRACTION,False,True,0
2026-06-26,54278.93,0.0,0.0,CONTRACTION,False,True,0
2026-06-29,54278.93,0.0,0.0,CONTRACTION,False,True,0
2026-06-30,54278.93,0.0,0.0,CONTRACTION,False,True,0
