trade_id,asset,direction,entry_price,exit_price,stop_price,entry_date,exit_date,position_size,leverage,pnl_pct,pnl_usd,exit_reason,regime,stop_hit
XAUUSD-2026-05-05-CLOSE,XAUUSD,SHORT,4547.600098,4555.799805,4593.07609898,2026-05-05,2026-05-05,6666.666666666667,500,-0.1803,-6010.28,CLOSE,CONTRACTION,False
EURUSD-2026-05-05-CLOSE,EURUSD,SHORT,1.1687,1.17065,1.180387,2026-05-05,2026-05-05,6666.666666666667,500,-0.1669,-5561.74,CLOSE,CONTRACTION,False
AUDUSD-2026-05-05-CLOSE,AUDUSD,SHORT,0.7159,0.7186,0.723059,2026-05-05,2026-05-05,6666.666666666667,500,-0.3771,-12571.59,CLOSE,CONTRACTION,False
