date,equity,daily_pnl,daily_pnl_pct,regime,trade_day,aligned,open_positions
2026-01-02,100000.0,0.0,0.0,CONTRACTION,False,True,0
2026-01-05,100000.0,0.0,0.0,CONTRACTION,False,True,0
2026-01-06,100000.0,0.0,0.0,CONTRACTION,False,True,0
2026-01-07,144736.09,44736.09,44.7361,CONTRACTION,True,True,0
2026-01-08,144736.09,0.0,0.0,CONTRACTION,False,True,0
2026-01-09,144736.09,0.0,0.0,CONTRACTION,False,True,0
2026-01-12,144736.09,0.0,0.0,CONTRACTION,False,True,0
2026-01-13,181803.83,37067.73,25.6106,CONTRACTION,True,True,0
2026-01-14,181803.83,0.0,0.0,CONTRACTION,False,True,0
2026-01-15,181803.83,0.0,0.0,CONTRACTION,False,True,0
2026-01-16,226976.93,45173.11,24.8472,CONTRACTION,True,True,0
2026-01-19,226976.93,0.0,0.0,CONTRACTION,False,True,0
2026-01-20,226976.93,0.0,0.0,CONTRACTION,False,True,0
2026-01-21,226976.93,0.0,0.0,CONTRACTION,False,True,0
2026-01-22,226976.93,0.0,0.0,CONTRACTION,False,True,0
2026-01-23,226976.93,0.0,0.0,CONTRACTION,False,True,0
2026-01-26,226976.93,0.0,0.0,CONTRACTION,False,True,0
2026-01-27,226976.93,0.0,0.0,CONTRACTION,False,True,0
2026-01-28,226976.93,0.0,0.0,CONTRACTION,False,True,0
2026-01-29,226976.93,0.0,0.0,CONTRACTION,False,True,0
2026-01-30,321171.88,94194.95,41.4998,CONTRACTION,True,True,0
2026-02-02,282043.99,-39127.89,-12.1829,CONTRACTION,True,True,0
2026-02-03,282043.99,0.0,0.0,CONTRACTION,False,True,0
2026-02-04,282043.99,0.0,0.0,CONTRACTION,False,True,0
2026-02-05,308096.35,26052.35,9.237,CONTRACTION,True,True,0
2026-02-06,308096.35,0.0,0.0,CONTRACTION,False,True,0
2026-02-09,308096.35,0.0,0.0,CONTRACTION,False,True,0
2026-02-10,430187.73,122091.39,39.6277,CONTRACTION,True,True,0
2026-02-11,430187.73,0.0,0.0,CONTRACTION,False,True,0
2026-02-12,955188.36,525000.63,122.0399,CONTRACTION,True,True,0
2026-02-13,955188.36,0.0,0.0,CONTRACTION,False,True,0
2026-02-16,955188.36,0.0,0.0,CONTRACTION,False,True,0
2026-02-17,955188.36,0.0,0.0,CONTRACTION,False,True,0
2026-02-18,955188.36,0.0,0.0,CONTRACTION,False,True,0
2026-02-19,955188.36,0.0,0.0,CONTRACTION,False,True,0
2026-02-20,955188.36,0.0,0.0,CONTRACTION,False,True,0
2026-02-23,955188.36,0.0,0.0,CONTRACTION,False,True,0
2026-02-24,955188.36,0.0,0.0,CONTRACTION,False,True,0
2026-02-25,955188.36,0.0,0.0,CONTRACTION,False,True,0
2026-02-26,955188.36,0.0,0.0,CONTRACTION,False,True,0
2026-02-27,955188.36,0.0,0.0,CONTRACTION,False,True,0
2026-03-02,955188.36,0.0,0.0,CONTRACTION,False,True,0
2026-03-03,2841286.89,1886098.53,197.4583,CONTRACTION,True,True,0
2026-03-04,2841286.89,0.0,0.0,CONTRACTION,False,True,0
2026-03-05,2981219.88,139932.99,4.925,CONTRACTION,True,True,0
2026-03-06,2981219.88,0.0,0.0,CONTRACTION,False,True,0
2026-03-09,2981219.88,0.0,0.0,CONTRACTION,False,True,0
2026-03-10,2981219.88,0.0,0.0,CONTRACTION,False,True,0
2026-03-11,2981219.88,0.0,0.0,CONTRACTION,False,True,0
2026-03-12,6380724.36,3399504.48,114.0307,CONTRACTION,True,True,0
2026-03-13,13623322.87,7242598.51,113.5075,CONTRACTION,True,True,0
2026-03-16,13623322.87,0.0,0.0,CONTRACTION,False,True,0
2026-03-17,13623322.87,0.0,0.0,CONTRACTION,False,True,0
2026-03-18,39246303.02,25622980.15,188.0817,CONTRACTION,True,True,0
2026-03-19,39246303.02,0.0,0.0,CONTRACTION,False,True,0
2026-03-20,39825464.66,579161.63,1.4757,CONTRACTION,True,True,0
2026-03-23,39825464.66,0.0,0.0,CONTRACTION,False,True,0
2026-03-24,39825464.66,0.0,0.0,CONTRACTION,False,True,0
2026-03-25,39825464.66,0.0,0.0,CONTRACTION,False,True,0
2026-03-26,93811592.83,53986128.17,135.5568,CONTRACTION,True,True,0
2026-03-27,93811592.83,0.0,0.0,CONTRACTION,False,True,0
2026-03-30,93811592.83,0.0,0.0,CONTRACTION,False,True,0
2026-03-31,93811592.83,0.0,0.0,CONTRACTION,False,True,0
2026-04-01,93811592.83,0.0,0.0,CONTRACTION,False,True,0
2026-04-02,171169864.36,77358271.54,82.4613,CONTRACTION,True,True,0
2026-04-03,171169864.36,0.0,0.0,CONTRACTION,False,True,0
2026-04-06,171169864.36,0.0,0.0,CONTRACTION,False,True,0
2026-04-07,171169864.36,0.0,0.0,CONTRACTION,False,True,0
2026-04-08,171169864.36,0.0,0.0,CONTRACTION,False,True,0
2026-04-09,171169864.36,0.0,0.0,CONTRACTION,False,True,0
2026-04-10,171169864.36,0.0,0.0,CONTRACTION,False,True,0
2026-04-13,171169864.36,0.0,0.0,CONTRACTION,False,True,0
2026-04-14,171169864.36,0.0,0.0,CONTRACTION,False,True,0
2026-04-15,171169864.36,0.0,0.0,CONTRACTION,False,True,0
2026-04-16,129978714.35,-41191150.02,-24.0645,CONTRACTION,True,True,0
2026-04-17,129978714.35,0.0,0.0,CONTRACTION,False,True,0
2026-04-20,129978714.35,0.0,0.0,CONTRACTION,False,True,0
2026-04-21,257543744.6,127565030.26,98.143,CONTRACTION,True,True,0
2026-04-22,257543744.6,0.0,0.0,CONTRACTION,False,True,0
2026-04-23,392667421.36,135123676.76,52.4663,CONTRACTION,True,True,0
2026-04-24,392667421.36,0.0,0.0,CONTRACTION,False,True,0
2026-04-27,392667421.36,0.0,0.0,CONTRACTION,False,True,0
2026-04-28,657290542.85,264623121.49,67.3912,CONTRACTION,True,True,0
2026-04-29,1163088337.14,505797794.29,76.9519,CONTRACTION,True,True,0
2026-04-30,1163088337.14,0.0,0.0,CONTRACTION,False,True,0
2026-05-01,1163088337.14,0.0,0.0,CONTRACTION,False,True,0
2026-05-04,2345358878.98,1182270541.84,101.6492,CONTRACTION,True,True,0
2026-05-05,2345358878.98,0.0,0.0,CONTRACTION,False,True,0
2026-05-06,2345358878.98,0.0,0.0,CONTRACTION,False,True,0
2026-05-07,2025646651.46,-319712227.52,-13.6317,CONTRACTION,True,True,0
2026-05-08,2025646651.46,0.0,0.0,CONTRACTION,False,True,0
2026-05-11,2025646651.46,0.0,0.0,CONTRACTION,False,True,0
2026-05-12,2621830905.08,596184253.62,29.4318,CONTRACTION,True,True,0
2026-05-13,2621830905.08,0.0,0.0,CONTRACTION,False,True,0
2026-05-14,4132342741.53,1510511836.45,57.6129,CONTRACTION,True,True,0
2026-05-15,9312388072.8,5180045331.28,125.3537,CONTRACTION,True,True,0
2026-05-18,9312388072.8,0.0,0.0,CONTRACTION,False,True,0
2026-05-19,18798462217.56,9486074144.76,101.8651,CONTRACTION,True,True,0
2026-05-20,18798462217.56,0.0,0.0,CONTRACTION,False,True,0
2026-05-21,18798462217.56,0.0,0.0,CONTRACTION,False,True,0
2026-05-22,26179624214.72,7381161997.16,39.2647,CONTRACTION,True,True,0
2026-05-25,26179624214.72,0.0,0.0,CONTRACTION,False,True,0
2026-05-26,40184982880.85,14005358666.13,53.4972,CONTRACTION,True,True,0
2026-05-27,60717690605.78,20532707724.92,51.0955,CONTRACTION,True,True,0
2026-05-28,60717690605.78,0.0,0.0,CONTRACTION,False,True,0
2026-05-29,60717690605.78,0.0,0.0,CONTRACTION,False,True,0
2026-06-01,89075649562.04,28357958956.27,46.7046,CONTRACTION,True,True,0
2026-06-02,89075649562.04,0.0,0.0,CONTRACTION,False,True,0
2026-06-03,155729613307.8,66653963745.76,74.8285,CONTRACTION,True,True,0
2026-06-04,155729613307.8,0.0,0.0,CONTRACTION,False,True,0
2026-06-05,431137444751.0,275407831443.2,176.85,CONTRACTION,True,True,0
2026-06-08,431137444751.0,0.0,0.0,CONTRACTION,False,True,0
2026-06-09,431137444751.0,0.0,0.0,CONTRACTION,False,True,0
2026-06-10,1104991444663.13,673853999912.13,156.2968,CONTRACTION,True,True,0
2026-06-11,1104991444663.13,0.0,0.0,CONTRACTION,False,True,0
2026-06-12,1104991444663.13,0.0,0.0,CONTRACTION,False,True,0
2026-06-15,1104991444663.13,0.0,0.0,CONTRACTION,False,True,0
2026-06-16,1104991444663.13,0.0,0.0,CONTRACTION,False,True,0
2026-06-17,1360690664338.42,255699219675.29,23.1404,CONTRACTION,True,True,0
2026-06-18,1360690664338.42,0.0,0.0,CONTRACTION,False,True,0
2026-06-19,1360690664338.42,0.0,0.0,CONTRACTION,False,True,0
2026-06-22,1360690664338.42,0.0,0.0,CONTRACTION,False,True,0
2026-06-23,2997480227307.22,1636789562968.8,120.2911,CONTRACTION,True,True,0
2026-06-24,6169474076958.46,3171993849651.24,105.822,CONTRACTION,True,True,0
2026-06-25,6169474076958.46,0.0,0.0,CONTRACTION,False,True,0
2026-06-26,6169474076958.46,0.0,0.0,CONTRACTION,False,True,0
2026-06-29,6169474076958.46,0.0,0.0,CONTRACTION,False,True,0
2026-06-30,6169474076958.46,0.0,0.0,CONTRACTION,False,True,0
