trade_id,asset,direction,entry_price,exit_price,stop_price,entry_date,exit_date,position_size,leverage,pnl_pct,pnl_usd,exit_reason,regime,stop_hit
XAUUSD-2026-06-01-CLOSE,XAUUSD,SHORT,4521.910156,4485.149902,4567.12925756,2026-06-01,2026-06-01,6666.666666666667,500,0.8129,27097.88,CLOSE,CONTRACTION,False
EURUSD-2026-06-01-CLOSE,EURUSD,SHORT,1.1659,1.1631,1.177559,2026-06-01,2026-06-01,6666.666666666667,500,0.2402,8005.26,CLOSE,CONTRACTION,False
AUDUSD-2026-06-01-CLOSE,AUDUSD,SHORT,0.7183,0.7158,0.7254830000000001,2026-06-01,2026-06-01,6666.666666666667,500,0.348,11601.47,CLOSE,CONTRACTION,False
XAUUSD-2026-06-03-CLOSE,XAUUSD,SHORT,4489.180176,4434.419922,4534.07197776,2026-06-03,2026-06-03,9780.307153026884,500,1.2198,59651.44,CLOSE,CONTRACTION,False
EURUSD-2026-06-03-CLOSE,EURUSD,SHORT,1.1632,1.1597,1.174832,2026-06-03,2026-06-03,9780.307153026884,500,0.3009,14714.18,CLOSE,CONTRACTION,False
AUDUSD-2026-06-03-CLOSE,AUDUSD,SHORT,0.7181,0.7129,0.725281,2026-06-03,2026-06-03,9780.307153026884,500,0.7241,35411.22,CLOSE,CONTRACTION,False
XAUUSD-2026-06-05-CLOSE,XAUUSD,SHORT,4476.240234,4329.330078,4521.00263634,2026-06-05,2026-06-05,17098.763337241133,500,3.282,280590.61,CLOSE,CONTRACTION,False
EURUSD-2026-06-05-CLOSE,EURUSD,SHORT,1.1616,1.1521,1.173216,2026-06-05,2026-06-05,17098.763337241133,500,0.8178,69920.05,CLOSE,CONTRACTION,False
AUDUSD-2026-06-05-CLOSE,AUDUSD,SHORT,0.7133,0.7047,0.7204330000000001,2026-06-05,2026-06-05,17098.763337241133,500,1.2057,103076.8,CLOSE,CONTRACTION,False
XAUUSD-2026-06-10-CLOSE,XAUUSD,SHORT,4255.700195,4075.080078,4298.25719695,2026-06-10,2026-06-10,47337.927430986536,500,4.2442,1004556.43,CLOSE,CONTRACTION,False
EURUSD-2026-06-10-CLOSE,EURUSD,SHORT,1.1543,1.1536,1.1658430000000002,2026-06-10,2026-06-10,47337.927430986536,500,0.0606,14353.53,CLOSE,CONTRACTION,False
AUDUSD-2026-06-10-CLOSE,AUDUSD,SHORT,0.703,0.7003,0.7100299999999999,2026-06-10,2026-06-10,47337.927430986536,500,0.3841,90904.98,CLOSE,CONTRACTION,False
XAUUSD-2026-06-17-STOP_LOSS,XAUUSD,SHORT,4334.029785,4377.37008285,4377.37008285,2026-06-17,2026-06-17,121325.5899160762,500,-1.0,-606627.95,STOP_LOSS,CONTRACTION,True
EURUSD-2026-06-17-CLOSE,EURUSD,SHORT,1.1609,1.1501,1.172509,2026-06-17,2026-06-17,121325.5899160762,500,0.9303,564353.68,CLOSE,CONTRACTION,False
AUDUSD-2026-06-17-CLOSE,AUDUSD,SHORT,0.7069,0.7015,0.713969,2026-06-17,2026-06-17,121325.5899160762,500,0.7639,463402.31,CLOSE,CONTRACTION,False
XAUUSD-2026-06-23-CLOSE,XAUUSD,SHORT,4191.629883,4110.259766,4233.54618183,2026-06-23,2026-06-23,149400.79250521728,500,1.9413,1450123.26,CLOSE,CONTRACTION,False
EURUSD-2026-06-23-CLOSE,EURUSD,SHORT,1.1429,1.1382,1.154329,2026-06-23,2026-06-23,149400.79250521728,500,0.4112,307193.86,CLOSE,CONTRACTION,False
AUDUSD-2026-06-23-CLOSE,AUDUSD,SHORT,0.7005,0.6917,0.707505,2026-06-23,2026-06-23,149400.79250521728,500,1.2562,938420.4,CLOSE,CONTRACTION,False
XAUUSD-2026-06-24-CLOSE,XAUUSD,SHORT,4113.080078,4000.689941,4154.21087878,2026-06-24,2026-06-24,329116.6267361391,500,2.7325,4496564.87,CLOSE,CONTRACTION,False
EURUSD-2026-06-24-CLOSE,EURUSD,SHORT,1.1383,1.1359,1.149683,2026-06-24,2026-06-24,329116.6267361391,500,0.2108,346955.94,CLOSE,CONTRACTION,False
AUDUSD-2026-06-24-CLOSE,AUDUSD,SHORT,0.6917,0.6901,0.6986169999999999,2026-06-24,2026-06-24,329116.6267361391,500,0.2313,380646.67,CLOSE,CONTRACTION,False
