trade_id,asset,direction,entry_price,exit_price,stop_price,entry_date,exit_date,position_size,leverage,pnl_pct,pnl_usd,exit_reason,regime,stop_hit
XAUUSD-2026-02-02-STOP_LOSS,XAUUSD,SHORT,4799.720215,4847.71741715,4847.71741715,2026-02-02,2026-02-02,6666.666666666667,500,-1.0,-33333.33,STOP_LOSS,CONTRACTION,True
EURUSD-2026-02-02-CLOSE,EURUSD,SHORT,1.1856,1.1791,1.197456,2026-02-02,2026-02-02,6666.666666666667,500,0.5482,18274.85,CLOSE,CONTRACTION,False
AUDUSD-2026-02-02-CLOSE,AUDUSD,SHORT,0.6955,0.6949,0.702455,2026-02-02,2026-02-02,6666.666666666667,500,0.0863,2875.63,CLOSE,CONTRACTION,False
XAUUSD-2026-02-05-STOP_LOSS,XAUUSD,SHORT,4963.740234,5013.37763634,5013.37763634,2026-02-05,2026-02-05,5854.476634112655,500,-1.0,-29272.38,STOP_LOSS,CONTRACTION,True
EURUSD-2026-02-05-CLOSE,EURUSD,SHORT,1.1808,1.1777,1.1926080000000001,2026-02-05,2026-02-05,5854.476634112655,500,0.2625,7684.99,CLOSE,CONTRACTION,False
AUDUSD-2026-02-05-CLOSE,AUDUSD,SHORT,0.6998,0.6927,0.706798,2026-02-05,2026-02-05,5854.476634112655,500,1.0146,29699.05,CLOSE,CONTRACTION,False
XAUUSD-2026-02-10-CLOSE,XAUUSD,SHORT,5065.319824,5023.470215,5115.97302224,2026-02-10,2026-02-10,6395.25360332473,500,0.8262,26418.75,CLOSE,CONTRACTION,False
EURUSD-2026-02-10-CLOSE,EURUSD,SHORT,1.1913,1.1895,1.203213,2026-02-10,2026-02-10,6395.25360332473,500,0.1511,4831.47,CLOSE,CONTRACTION,False
AUDUSD-2026-02-10-CLOSE,AUDUSD,SHORT,0.7091,0.7076,0.7161909999999999,2026-02-10,2026-02-10,6395.25360332473,500,0.2115,6764.12,CLOSE,CONTRACTION,False
XAUUSD-2026-02-12-CLOSE,XAUUSD,SHORT,5079.040039,4920.319824,5129.830439390001,2026-02-12,2026-02-12,8929.543256101611,500,3.125,139524.3,CLOSE,CONTRACTION,False
EURUSD-2026-02-12-CLOSE,EURUSD,SHORT,1.1878,1.1871,1.199678,2026-02-12,2026-02-12,8929.543256101611,500,0.0589,2631.2,CLOSE,CONTRACTION,False
AUDUSD-2026-02-12-CLOSE,AUDUSD,SHORT,0.7124,0.709,0.719524,2026-02-12,2026-02-12,8929.543256101611,500,0.4773,21308.57,CLOSE,CONTRACTION,False
