date,equity,daily_pnl,daily_pnl_pct,regime,trade_day,aligned,open_positions
2025-09-01,100000.0,0.0,0.0,CONTRACTION,False,True,0
2025-09-02,100000.0,0.0,0.0,CONTRACTION,False,True,0
2025-09-03,100000.0,0.0,0.0,CONTRACTION,False,True,0
2025-09-04,129361.63,29361.63,29.3616,CONTRACTION,True,True,0
2025-09-05,129361.63,0.0,0.0,CONTRACTION,False,True,0
2025-09-08,129361.63,0.0,0.0,CONTRACTION,False,True,0
2025-09-09,110328.27,-19033.36,-14.7133,CONTRACTION,True,True,0
2025-09-10,110328.27,0.0,0.0,CONTRACTION,False,True,0
2025-09-11,110328.27,0.0,0.0,CONTRACTION,False,True,0
2025-09-12,110328.27,0.0,0.0,CONTRACTION,False,True,0
2025-09-15,110328.27,0.0,0.0,CONTRACTION,False,True,0
2025-09-16,110328.27,0.0,0.0,CONTRACTION,False,True,0
2025-09-17,176613.48,66285.21,60.08,CONTRACTION,True,True,0
2025-09-18,249548.42,72934.94,41.2964,CONTRACTION,True,True,0
2025-09-19,249548.42,0.0,0.0,CONTRACTION,False,True,0
2025-09-22,249548.42,0.0,0.0,CONTRACTION,False,True,0
2025-09-23,249548.42,0.0,0.0,CONTRACTION,False,True,0
2025-09-24,389069.24,139520.82,55.9093,CONTRACTION,True,True,0
2025-09-25,389069.24,0.0,0.0,CONTRACTION,False,True,0
2025-09-26,389069.24,0.0,0.0,CONTRACTION,False,True,0
2025-09-29,389069.24,0.0,0.0,CONTRACTION,False,True,0
2025-09-30,389069.24,0.0,0.0,CONTRACTION,False,True,0
