date,equity,daily_pnl,daily_pnl_pct,regime,trade_day,aligned,open_positions
2025-12-01,100000.0,0.0,0.0,CONTRACTION,False,True,0
2025-12-02,100000.0,0.0,0.0,CONTRACTION,False,True,0
2025-12-03,100000.0,0.0,0.0,CONTRACTION,False,True,0
2025-12-04,100000.0,0.0,0.0,CONTRACTION,False,True,0
2025-12-05,100000.0,0.0,0.0,CONTRACTION,False,True,0
2025-12-08,117788.03,17788.03,17.788,CONTRACTION,True,True,0
2025-12-09,117788.03,0.0,0.0,CONTRACTION,False,True,0
2025-12-10,117788.03,0.0,0.0,CONTRACTION,False,True,0
2025-12-11,117788.03,0.0,0.0,CONTRACTION,False,True,0
2025-12-12,117788.03,0.0,0.0,CONTRACTION,False,True,0
2025-12-15,117788.03,0.0,0.0,CONTRACTION,False,True,0
2025-12-16,117788.03,0.0,0.0,CONTRACTION,False,True,0
2025-12-17,117788.03,0.0,0.0,CONTRACTION,False,True,0
2025-12-18,117788.03,0.0,0.0,CONTRACTION,False,True,0
2025-12-19,117788.03,0.0,0.0,CONTRACTION,False,True,0
2025-12-22,117788.03,0.0,0.0,CONTRACTION,False,True,0
2025-12-23,117788.03,0.0,0.0,CONTRACTION,False,True,0
2025-12-24,117788.03,0.0,0.0,CONTRACTION,False,True,0
2025-12-25,117788.03,0.0,0.0,CONTRACTION,False,True,0
2025-12-26,117788.03,0.0,0.0,CONTRACTION,False,True,0
2025-12-29,117788.03,0.0,0.0,CONTRACTION,False,True,0
2025-12-30,117788.03,0.0,0.0,CONTRACTION,False,True,0
2025-12-31,117788.03,0.0,0.0,CONTRACTION,False,True,0
