trade_id,asset,direction,entry_price,exit_price,stop_price,entry_date,exit_date,position_size,leverage,pnl_pct,pnl_usd,exit_reason,regime,stop_hit
XAUUSD-2025-09-04-CLOSE,XAUUSD,SHORT,3560.57,3546.17,3596.1757000000002,2025-09-04,2025-09-04,6666.666666666667,500,0.4044,13480.99,CLOSE,CONTRACTION,False
EURUSD-2025-09-04-CLOSE,EURUSD,SHORT,1.1661,1.165,1.1777609999999998,2025-09-04,2025-09-04,6666.666666666667,500,0.0943,3144.38,CLOSE,CONTRACTION,False
AUDUSD-2025-09-04-CLOSE,AUDUSD,SHORT,0.6543,0.6518,0.660843,2025-09-04,2025-09-04,6666.666666666667,500,0.3821,12736.26,CLOSE,CONTRACTION,False
XAUUSD-2025-09-09-STOP_LOSS,XAUUSD,SHORT,3637.1,3673.471,3673.471,2025-09-09,2025-09-09,8624.108639202868,500,-1.0,-43120.54,STOP_LOSS,CONTRACTION,True
EURUSD-2025-09-09-CLOSE,EURUSD,SHORT,1.1763,1.1708,1.1880629999999999,2025-09-09,2025-09-09,8624.108639202868,500,0.4676,20161.78,CLOSE,CONTRACTION,False
AUDUSD-2025-09-09-CLOSE,AUDUSD,SHORT,0.6591,0.6585,0.665691,2025-09-09,2025-09-09,8624.108639202868,500,0.091,3925.4,CLOSE,CONTRACTION,False
XAUUSD-2025-09-17-CLOSE,XAUUSD,SHORT,3691.8,3660.04,3728.7180000000003,2025-09-17,2025-09-17,7355.2177331019675,500,0.8603,31637.92,CLOSE,CONTRACTION,False
EURUSD-2025-09-17-CLOSE,EURUSD,SHORT,1.1868,1.1813,1.198668,2025-09-17,2025-09-17,7355.2177331019675,500,0.4634,17043.18,CLOSE,CONTRACTION,False
AUDUSD-2025-09-17-CLOSE,AUDUSD,SHORT,0.6685,0.6653,0.675185,2025-09-17,2025-09-17,7355.2177331019675,500,0.4787,17604.11,CLOSE,CONTRACTION,False
XAUUSD-2025-09-18-CLOSE,XAUUSD,SHORT,3659.4,3644.36,3695.994,2025-09-18,2025-09-18,11774.23169162276,500,0.411,24195.83,CLOSE,CONTRACTION,False
EURUSD-2025-09-18-CLOSE,EURUSD,SHORT,1.1813,1.1788,1.193113,2025-09-18,2025-09-18,11774.23169162276,500,0.2116,12458.98,CLOSE,CONTRACTION,False
AUDUSD-2025-09-18-CLOSE,AUDUSD,SHORT,0.6653,0.6612,0.671953,2025-09-18,2025-09-18,11774.23169162276,500,0.6163,36280.14,CLOSE,CONTRACTION,False
XAUUSD-2025-09-24-CLOSE,XAUUSD,SHORT,3765.78,3736.29,3803.4378,2025-09-24,2025-09-24,16636.561315305542,500,0.7831,65140.85,CLOSE,CONTRACTION,False
EURUSD-2025-09-24-CLOSE,EURUSD,SHORT,1.1815,1.1738,1.193315,2025-09-24,2025-09-24,16636.561315305542,500,0.6517,54211.39,CLOSE,CONTRACTION,False
AUDUSD-2025-09-24-CLOSE,AUDUSD,SHORT,0.6599,0.6583,0.6664990000000001,2025-09-24,2025-09-24,16636.561315305542,500,0.2425,20168.58,CLOSE,CONTRACTION,False
