trade_id,asset,direction,entry_price,exit_price,stop_price,entry_date,exit_date,position_size,leverage,pnl_pct,pnl_usd,exit_reason,regime,stop_hit
XAUUSD-2025-02-06-CLOSE,XAUUSD,SHORT,2865.26,2856.5,2893.9126,2025-02-06,2025-02-06,6666.666666666667,500,0.3057,10191.05,CLOSE,CONTRACTION,False
EURUSD-2025-02-06-CLOSE,EURUSD,SHORT,1.0402,1.0381,1.050602,2025-02-06,2025-02-06,6666.666666666667,500,0.2019,6729.48,CLOSE,CONTRACTION,False
AUDUSD-2025-02-06-CLOSE,AUDUSD,SHORT,0.6285,0.6283,0.6347849999999999,2025-02-06,2025-02-06,6666.666666666667,500,0.0318,1060.73,CLOSE,CONTRACTION,False
XAUUSD-2025-02-19-CLOSE,XAUUSD,SHORT,2935.73,2932.64,2965.0873,2025-02-19,2025-02-19,7865.416595564507,500,0.1053,4139.37,CLOSE,CONTRACTION,False
EURUSD-2025-02-19-CLOSE,EURUSD,SHORT,1.0443,1.0421,1.054743,2025-02-19,2025-02-19,7865.416595564507,500,0.2107,8284.94,CLOSE,CONTRACTION,False
AUDUSD-2025-02-19-CLOSE,AUDUSD,SHORT,0.6353,0.6344,0.641653,2025-02-19,2025-02-19,7865.416595564507,500,0.1417,5571.29,CLOSE,CONTRACTION,False
XAUUSD-2025-02-21-CLOSE,XAUUSD,SHORT,2939.0,2936.03,2968.39,2025-02-21,2025-02-21,9065.122555389786,500,0.1011,4580.37,CLOSE,CONTRACTION,False
EURUSD-2025-02-21-CLOSE,EURUSD,SHORT,1.0501,1.0458,1.0606010000000001,2025-02-21,2025-02-21,9065.122555389786,500,0.4095,18560.15,CLOSE,CONTRACTION,False
AUDUSD-2025-02-21-CLOSE,AUDUSD,SHORT,0.6399,0.6355,0.6462990000000001,2025-02-21,2025-02-21,9065.122555389786,500,0.6876,31166.23,CLOSE,CONTRACTION,False
XAUUSD-2025-02-27-CLOSE,XAUUSD,SHORT,2916.8,2876.19,2945.9680000000003,2025-02-27,2025-02-27,12685.572444679732,500,1.3923,88309.29,CLOSE,CONTRACTION,False
EURUSD-2025-02-27-CLOSE,EURUSD,SHORT,1.0484,1.0397,1.058884,2025-02-27,2025-02-27,12685.572444679732,500,0.8298,52634.72,CLOSE,CONTRACTION,False
AUDUSD-2025-02-27-CLOSE,AUDUSD,SHORT,0.6306,0.6233,0.6369060000000001,2025-02-27,2025-02-27,12685.572444679732,500,1.1576,73425.85,CLOSE,CONTRACTION,False
XAUUSD-2025-02-28-CLOSE,XAUUSD,SHORT,2877.66,2858.6,2906.4366,2025-02-28,2025-02-28,26976.896517920526,500,0.6623,89339.89,CLOSE,CONTRACTION,False
EURUSD-2025-02-28-CLOSE,EURUSD,SHORT,1.0399,1.0375,1.050299,2025-02-28,2025-02-28,26976.896517920526,500,0.2308,31130.18,CLOSE,CONTRACTION,False
AUDUSD-2025-02-28-CLOSE,AUDUSD,SHORT,0.6236,0.6207,0.6298360000000001,2025-02-28,2025-02-28,26976.896517920526,500,0.465,62726.91,CLOSE,CONTRACTION,False
