date,asset,open,high,low,close,vendor_high,vendor_low,envelope_fixed,source_month,epoch
2025-12-29,XAUUSD,4371.5,4379.0,4325.10009765625,4325.10009765625,4379.0,4325.10009765625,False,2026-01,1766984400
2025-12-30,XAUUSD,4346.39990234375,4403.60009765625,4338.0,4370.10009765625,4403.60009765625,4338.0,False,2026-01,1767070800
2025-12-31,XAUUSD,4333.5,4363.7998046875,4285.0,4325.60009765625,4363.7998046875,4285.0,False,2026-01,1767157200
2026-01-02,AUDUSD,0.6678500771522522,0.6709157824516296,0.6677399277687073,0.6678299903869629,0.6709157824516296,0.6677399277687073,False,2026-01,1767312000
2026-01-02,EURUSD,1.1751158237457275,1.176747441291809,1.17134428024292,1.175046682357788,1.176747441291809,1.17134428024292,False,2026-01,1767312000
2026-01-02,XAUUSD,4350.60009765625,4350.60009765625,4314.39990234375,4314.39990234375,4350.60009765625,4314.39990234375,False,2026-01,1767330000
2026-01-05,AUDUSD,0.6684702038764954,0.6719978451728821,0.6665000319480896,0.6683902144432068,0.6719978451728821,0.6665000319480896,False,2026-01,1767571200
2026-01-05,EURUSD,1.1706448793411255,1.1718658208847046,1.166003942489624,1.1704667806625366,1.1718658208847046,1.166003942489624,False,2026-01,1767571200
2026-01-05,XAUUSD,4386.7001953125,4443.5,4384.7998046875,4436.89990234375,4443.5,4384.7998046875,False,2026-01,1767589200
2026-01-06,AUDUSD,0.6713888049125671,0.6739316582679749,0.6704201698303223,0.6713401079177856,0.6739316582679749,0.6704201698303223,False,2026-01,1767657600
2026-01-06,EURUSD,1.1716461181640625,1.1745359897613525,1.1684154272079468,1.1714951992034912,1.1745359897613525,1.1684154272079468,False,2026-01,1767657600
2026-01-06,XAUUSD,4449.7001953125,4482.2001953125,4449.0,4482.2001953125,4482.2001953125,4449.0,False,2026-01,1767675600
2026-01-07,AUDUSD,0.6735684871673584,0.6768001914024353,0.6718398332595825,0.6737000942230225,0.6768001914024353,0.6718398332595825,False,2026-01,1767744000
2026-01-07,EURUSD,1.1687841415405273,1.170548915863037,1.1674468517303467,1.1688251495361328,1.170548915863037,1.1674468517303467,False,2026-01,1767744000
2026-01-07,XAUUSD,4450.0,4450.0,4449.2998046875,4449.2998046875,4450.0,4449.2998046875,False,2026-01,1767762000
2026-01-08,AUDUSD,0.672241747379303,0.672569990158081,0.6682597994804382,0.672210156917572,0.672569990158081,0.6682597994804382,False,2026-01,1767830400
2026-01-08,EURUSD,1.1677467823028564,1.1684973239898682,1.1652837991714478,1.1676785945892334,1.1684973239898682,1.1652837991714478,False,2026-01,1767830400
2026-01-08,XAUUSD,4460.2001953125,4461.2998046875,4418.0,4449.7001953125,4461.2998046875,4418.0,False,2026-01,1767848400
2026-01-09,AUDUSD,0.6698300838470459,0.6703001260757446,0.6664800643920898,0.6701065301895142,0.6703001260757446,0.6664800643920898,False,2026-01,1767916800
2026-01-09,EURUSD,1.165813684463501,1.16604483127594,1.161926031112671,1.1657865047454834,1.16604483127594,1.161926031112671,False,2026-01,1767916800
2026-01-09,XAUUSD,4473.0,4490.2998046875,4473.0,4490.2998046875,4490.2998046875,4473.0,False,2026-01,1767934800
2026-01-12,AUDUSD,0.6685922145843506,0.6723141074180603,0.668420135974884,0.6685801148414612,0.6723141074180603,0.668420135974884,False,2026-01,1768176000
2026-01-12,EURUSD,1.162493348121643,1.169864296913147,1.162304162979126,1.1623716354370117,1.169864296913147,1.162304162979126,False,2026-01,1768176000
2026-01-12,XAUUSD,4579.10009765625,4620.0,4577.7998046875,4604.2998046875,4620.0,4577.7998046875,False,2026-01,1768194000
2026-01-13,AUDUSD,0.6708199381828308,0.6724994778633118,0.6673998832702637,0.6707807779312134,0.6724994778633118,0.6673998832702637,False,2026-01,1768262400
2026-01-13,EURUSD,1.1667931079864502,1.1675423383712769,1.1635212898254395,1.1666978597640991,1.1675423383712769,1.1635212898254395,False,2026-01,1768262400
2026-01-13,XAUUSD,4578.60009765625,4617.10009765625,4578.60009765625,4589.2001953125,4617.10009765625,4578.60009765625,False,2026-01,1768280400
2026-01-14,AUDUSD,0.6683098077774048,0.6705001592636108,0.6675999760627747,0.6683598756790161,0.6705001592636108,0.6675999760627747,False,2026-01,1768348800
2026-01-14,EURUSD,1.1643340587615967,1.1663167476654053,1.1637108325958252,1.164252758026123,1.1663167476654053,1.1637108325958252,False,2026-01,1768348800
2026-01-14,XAUUSD,4610.2998046875,4635.0,4608.2001953125,4626.2998046875,4635.0,4608.2001953125,False,2026-01,1768366800
2026-01-15,AUDUSD,0.6681700944900513,0.6709901094436646,0.6668400764465332,0.6682798862457275,0.6709901094436646,0.6668400764465332,False,2026-01,1768435200
2026-01-15,EURUSD,1.1645103693008423,1.164686679840088,1.1593934297561646,1.1646324396133423,1.164686679840088,1.1593934297561646,False,2026-01,1768435200
2026-01-15,XAUUSD,4612.89990234375,4616.2998046875,4612.89990234375,4616.2998046875,4616.2998046875,4612.89990234375,False,2026-01,1768453200
2026-01-16,AUDUSD,0.670286238193512,0.6710057854652405,0.6671799421310425,0.6704210042953491,0.6710057854652405,0.6671799421310425,False,2026-01,1768521600
2026-01-16,EURUSD,1.1609547138214111,1.1626555919647217,1.1585471630096436,1.1609008312225342,1.1626555919647217,1.1585471630096436,False,2026-01,1768521600
2026-01-16,XAUUSD,4608.0,4608.0,4588.39990234375,4588.39990234375,4608.0,4588.39990234375,False,2026-01,1768539600
2026-01-19,AUDUSD,0.6688600778579712,0.6718172430992126,0.6678500771522522,0.6687598824501038,0.6718172430992126,0.6678500771522522,False,2026-01,1768780800
2026-01-19,EURUSD,1.1623852252960205,1.164958119392395,1.1609547138214111,1.162493348121643,1.164958119392395,1.1609547138214111,False,2026-01,1768780800
2026-01-20,AUDUSD,0.6710689067840576,0.6747183203697205,0.6707101464271545,0.6709878444671631,0.6747183203697205,0.6707101464271545,False,2026-01,1768867200
2026-01-20,EURUSD,1.1639952659606934,1.1747016906738281,1.1633453369140625,1.1639139652252197,1.1747016906738281,1.1633453369140625,False,2026-01,1768867200
2026-01-20,XAUUSD,4662.2001953125,4764.0,4661.7998046875,4759.60009765625,4764.0,4661.7998046875,False,2026-01,1768885200
2026-01-21,AUDUSD,0.6732012033462524,0.6777501702308655,0.6728098392486572,0.6731699109077454,0.6777501702308655,0.6728098392486572,False,2026-01,1768953600
2026-01-21,EURUSD,1.1726078987121582,1.1742602586746216,1.169700026512146,1.1727865934371948,1.1742602586746216,1.169700026512146,False,2026-01,1768953600
2026-01-21,XAUUSD,4863.5,4872.2998046875,4771.5,4831.7998046875,4872.2998046875,4771.5,False,2026-01,1768971600
2026-01-22,AUDUSD,0.6754702925682068,0.6838074326515198,0.6754702925682068,0.6754794120788574,0.6838074326515198,0.6754702925682068,False,2026-01,1769040000
2026-01-22,EURUSD,1.167392373085022,1.1750743389129639,1.1672970056533813,1.1672970056533813,1.1750743389129639,1.167392373085022,True,2026-01,1769040000
2026-01-22,XAUUSD,4791.89990234375,4908.7998046875,4791.89990234375,4908.7998046875,4908.7998046875,4791.89990234375,False,2026-01,1769058000
2026-01-23,AUDUSD,0.6839991807937622,0.688098669052124,0.6834797859191895,0.6840506792068481,0.688098669052124,0.6834797859191895,False,2026-01,1769126400
2026-01-23,EURUSD,1.1753920316696167,1.1775649785995483,1.1728966236114502,1.1754610538482666,1.1775649785995483,1.1728966236114502,False,2026-01,1769126400
2026-01-23,XAUUSD,4949.60009765625,4976.2001953125,4936.0,4976.2001953125,4976.2001953125,4936.0,False,2026-01,1769144400
2026-01-26,AUDUSD,0.6912899613380432,0.6940998435020447,0.690779983997345,0.691399872303009,0.6940998435020447,0.690779983997345,False,2026-01,1769385600
2026-01-26,EURUSD,1.1858175992965698,1.1904903650283813,1.183712124824524,1.1858457326889038,1.1904903650283813,1.183712124824524,False,2026-01,1769385600
2026-01-26,XAUUSD,5081.5,5095.60009765625,5052.2001953125,5079.7001953125,5095.60009765625,5052.2001953125,False,2026-01,1769403600
2026-01-27,AUDUSD,0.6913382411003113,0.6983240246772766,0.690231204032898,0.691472053527832,0.6983240246772766,0.690231204032898,False,2026-01,1769472000
2026-01-27,EURUSD,1.1874228715896606,1.1989833116531372,1.185185194015503,1.1876484155654907,1.1989833116531372,1.185185194015503,False,2026-01,1769472000
2026-01-28,AUDUSD,0.6996397376060486,0.7020997405052185,0.697759747505188,0.6995800137519836,0.7020997405052185,0.697759747505188,False,2026-01,1769558400
2026-01-28,EURUSD,1.2022699117660522,1.2023565769195557,1.1921935081481934,1.2017642259597778,1.2023565769195557,1.1921935081481934,False,2026-01,1769558400
2026-01-29,AUDUSD,0.703937828540802,0.7093999981880188,0.6972100138664246,0.7039799094200134,0.7093999981880188,0.6972100138664246,False,2026-01,1769644800
2026-01-29,EURUSD,1.1976622343063354,1.1994577646255493,1.1908447742462158,1.1977769136428833,1.1994577646255493,1.1908447742462158,False,2026-01,1769644800
2026-01-29,XAUUSD,5415.7001953125,5586.2001953125,5097.5,5318.39990234375,5586.2001953125,5097.5,False,2026-01,1769662800
2026-01-30,AUDUSD,0.7048999667167664,0.7055171132087708,0.6969097852706909,0.7047300934791565,0.7055171132087708,0.6969097852706909,False,2026-01,1769731200
2026-01-30,EURUSD,1.1967878341674805,1.1973466873168945,1.187394618988037,1.19657301902771,1.1973466873168945,1.187394618988037,False,2026-01,1769731200
2026-01-30,XAUUSD,5376.39990234375,5440.5,4700.0,4713.89990234375,5440.5,4700.0,False,2026-01,1769749200
2026-02-02,AUDUSD,0.6948497891426086,0.6970924139022827,0.6910181641578674,0.6946277618408203,0.6970924139022827,0.6910181641578674,False,2026-02,1769990400
2026-02-02,EURUSD,1.185044765472412,1.1875073909759521,1.179078459739685,1.1849182844161987,1.1875073909759521,1.179078459739685,False,2026-02,1769990400
2026-02-02,XAUUSD,4807.7001953125,4855.7998046875,4400.0,4622.5,4855.7998046875,4400.0,False,2026-02,1770008400
2026-02-03,AUDUSD,0.6958801746368408,0.7049998641014099,0.6955500841140747,0.6955500841140747,0.7049998641014099,0.6956812143325806,True,2026-02,1770076800
2026-02-03,EURUSD,1.1799131631851196,1.1824523210525513,1.178078293800354,1.1798714399337769,1.1824523210525513,1.178078293800354,False,2026-02,1770076800
2026-02-03,XAUUSD,4680.0,4984.60009765625,4674.2998046875,4903.7001953125,4984.60009765625,4674.2998046875,False,2026-02,1770094800
2026-02-04,AUDUSD,0.7021288871765137,0.7042198777198792,0.6981499791145325,0.7022520899772644,0.7042198777198792,0.6981499791145325,False,2026-02,1770163200
2026-02-04,EURUSD,1.1816281080245972,1.1838523149490356,1.1792314052581787,1.1816140413284302,1.1838523149490356,1.1792314052581787,False,2026-02,1770163200
